WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2677696.55531957 6474620.29484447)",149800,Pakuranga Central,Pakuranga Central,1.12638416,1.12638416,1767275.7189,5912943.15845,-36.9147023676076,174.877817896454,2677696.55531957,6474620.29484447
"POINT (2655313.65522368 6448970.98634596)",149900,Āwhitu,Awhitu,221.56028245,221.56028245,1744943.62945,5887252.5305,-37.14989148494,174.632167402356,2655313.65522368,6448970.98634596
"POINT (2671568.00141136 6469533.30767368)",150000,Harania North,Harania North,0.94433961,0.94433961,1761157.47305,5907844.23195,-36.9617094440506,174.810253611917,2671568.00141136,6469533.30767368
"POINT (2674178.48930187 6471644.50150989)",150100,Ōtāhuhu Central,Otahuhu Central,1.2712272,1.2712272,1763763.682,5909960.47645,-36.9421925590886,174.839056471382,2674178.48930187,6471644.50150989
"POINT (2670528.68332836 6468522.22504877)",150200,Māngere Central,Mangere Central,1.44506522,1.44506522,1760120.1924,5906831.16345,-36.9710142546805,174.798822076081,2670528.68332836,6468522.22504877
"POINT (2674914.86336552 6472062.40407342)",150300,Ōtāhuhu North,Otahuhu North,0.72505768,0.72505768,1764499.2007,5910379.8208,-36.9382861700692,174.847221175125,2674914.86336552,6472062.40407342
"POINT (2681489.26202825 6476923.72610941)",150400,Howick West,Howick West,1.19356217,1.19356217,1771063.7243,5915254.14915,-36.8932018294629,174.919798245142,2681489.26202825,6476923.72610941
"POINT (2678666.09736698 6474943.33437827)",150500,Pakuranga Heights North West,Pakuranga Heights North West,0.76226527,0.76226527,1768244.592,5913268.12765,-36.9116021140927,174.88861678512,2678666.09736698,6474943.33437827
"POINT (2682449.12445281 6477573.00879917)",150600,Mellons Bay,Mellons Bay,1.67623789,1.67623789,1772022.261,5915905.36065,-36.8871604975245,174.930402300328,2682449.12445281,6477573.00879917
"POINT (2679601.13332937 6475251.74686319)",150700,Pakuranga Heights East,Pakuranga Heights East,1.79068286,1.79068286,1769178.99215,5913578.4049,-36.908639455226,174.89903127926,2679601.13332937,6475251.74686319
"POINT (2672625.75245043 6469842.13483627)",150800,Sutton Park,Sutton Park,0.73071047,0.73071047,1762214.56645,5908155.12595,-36.9587267218039,174.82205554812,2672625.75245043,6469842.13483627
"POINT (2675857.65199132 6472268.028532)",150900,Ōtāhuhu East,Otahuhu East,0.78714449,0.78714449,1765441.54905,5910587.3081,-36.93625172831,174.857752710077,2675857.65199132,6472268.028532
"POINT (2670183.37912565 6467669.81970625)",151000,Māngere South,Mangere South,0.8331628,0.8331628,1759776.5746,5905978.13065,-36.9787585215459,174.79514410008,2670183.37912565,6467669.81970625
"POINT (2695879.3935402 6487399.92150345)",151100,Onetangi,Onetangi,5.9616408,5.9616408,1785432.5195,5925759.9679,-36.7958437090039,175.078398072651,2695879.3935402,6487399.92150345
